Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed,,,,,,,,,,,,,
No Controlled Devices,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,120.00,0.76,0.18,0.62,0.30,529.50,336.11,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,180.00,0.76,0.18,0.62,0.30,444.96,294.44,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,240.00,0.76,0.18,0.62,0.30,370.01,255.27,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,Wildtype,0.00,300.00,0.76,0.18,0.62,0.30,300.44,219.66,0.00,0.00,118.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
0,Weekdays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,5.00,0.76,0.18,0.62,0.30,816.31,428.11,5.18,2.72,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,10.00,0.76,0.18,0.62,0.30,773.05,422.97,4.91,2.69,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,15.00,0.76,0.18,0.62,0.30,749.66,418.18,4.76,2.66,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,20.00,0.76,0.18,0.62,0.30,733.06,413.98,4.66,2.63,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,25.00,0.76,0.18,0.62,0.30,717.31,409.77,4.56,2.60,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,30.00,0.76,0.18,0.62,0.30,703.13,405.47,4.47,2.58,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,35.00,0.76,0.18,0.62,0.30,690.17,401.21,4.38,2.55,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,40.00,0.76,0.18,0.62,0.30,677.54,396.98,4.30,2.52,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,45.00,0.76,0.18,0.62,0.30,665.65,392.83,4.23,2.49,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,50.00,0.76,0.18,0.62,0.30,654.40,388.78,4.16,2.47,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,55.00,0.76,0.18,0.62,0.30,643.37,384.78,4.09,2.44,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,60.00,0.76,0.18,0.62,0.30,632.85,380.81,4.02,2.42,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,120.00,0.76,0.18,0.62,0.30,529.50,336.11,3.36,2.13,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,180.00,0.76,0.18,0.62,0.30,444.96,294.44,2.83,1.87,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,240.00,0.76,0.18,0.62,0.30,370.01,255.27,2.35,1.62,118.00,,,,,,,,,,,,,
1.46,Weekdays,Wildtype,0.00,300.00,0.76,0.18,0.62,0.30,300.44,219.66,1.91,1.40,118.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,Weekdays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1,,,,,,,,,,,,,,,,,,,,,,,,,,
