pid,state,eventid,hashKey,submit_time,timestamp,timestampString
9991n,USER_IDLE,8,1538065311000USER_IDLE9991n,"2018-09-27 09:48:36",1538065311000,"2018-09-27 09:21:51"
9991n,USER_IDLE,6,1538066211000USER_IDLE9991n,"2018-09-27 09:48:36",1538066211000,"2018-09-27 09:36:51"
9991n,USER_IDLE,8,1538066812000USER_IDLE9991n,"2018-09-27 09:48:36",1538066812000,"2018-09-27 09:46:52"
9991n,USER_ACTIVE,7,1538066956000USER_ACTIVE9991n,"2018-09-27 10:18:36",1538066956000,"2018-09-27 09:49:16"
9991n,USER_IDLE,15,1538067085000USER_IDLE9991n,"2018-09-27 10:18:36",1538067085000,"2018-09-27 09:51:25"
9991n,USER_IDLE,8,1538067625000USER_IDLE9991n,"2018-09-27 10:18:36",1538067625000,"2018-09-27 10:00:25"
9991n,USER_IDLE,6,1538068524000USER_IDLE9991n,"2018-09-27 10:18:36",1538068524000,"2018-09-27 10:15:24"
9991n,USER_IDLE,8,1538069125000USER_IDLE9991n,"2018-09-27 10:48:36",1538069125000,"2018-09-27 10:25:25"
9991n,USER_IDLE,6,1538070025000USER_IDLE9991n,"2018-09-27 10:48:36",1538070025000,"2018-09-27 10:40:25"
9991n,USER_ACTIVE,7,1538070160000USER_ACTIVE9991n,"2018-09-27 10:48:36",1538070160000,"2018-09-27 10:42:40"
9991n,USER_IDLE,15,1538070483000USER_IDLE9991n,"2018-09-27 10:48:36",1538070483000,"2018-09-27 10:48:03"
9991n,USER_ACTIVE,7,1538070501000USER_ACTIVE9991n,"2018-09-27 10:48:36",1538070501000,"2018-09-27 10:48:21"
9991n,USER_IDLE,15,1538070840000USER_IDLE9991n,"2018-09-27 11:18:36",1538070840000,"2018-09-27 10:54:00"
9991n,USER_ACTIVE,7,1538070844000USER_ACTIVE9991n,"2018-09-27 11:18:36",1538070844000,"2018-09-27 10:54:04"
9991n,USER_IDLE,15,1538070990000USER_IDLE9991n,"2018-09-27 11:18:36",1538070990000,"2018-09-27 10:56:30"
9991n,USER_ACTIVE,7,1538071372000USER_ACTIVE9991n,"2018-09-27 11:18:36",1538071372000,"2018-09-27 11:02:52"
9991n,USER_IDLE,15,1538071453000USER_IDLE9991n,"2018-09-27 11:18:36",1538071453000,"2018-09-27 11:04:13"
9991n,USER_IDLE,8,1538071994000USER_IDLE9991n,"2018-09-27 11:18:36",1538071994000,"2018-09-27 11:13:14"
9991n,USER_IDLE,6,1538072893000USER_IDLE9991n,"2018-09-27 11:48:36",1538072893000,"2018-09-27 11:28:13"
