"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)","Light (LGR S/N: 20433441)","Occupancy (LGR S/N: 20433441)"
530,11/02/18 04:20:30 PM,1,1,,
531,11/02/18 04:20:40 PM,1,0,,
532,11/02/18 04:20:50 PM,1,1,,
533,11/02/18 04:21:00 PM,0,0,,
534,11/02/18 04:21:10 PM,1,1,,
535,11/02/18 04:21:20 PM,1,1,,
536,11/02/18 04:21:30 PM,0,0,,
537,11/02/18 04:21:40 PM,1,0,,
538,11/02/18 04:21:50 PM,1,1,,
539,11/02/18 04:22:00 PM,1,1,,
540,11/02/18 04:22:10 PM,0,0,,
541,11/02/18 04:22:20 PM,0,0,,
542,11/02/18 04:22:30 PM,0,1,,
543,11/02/18 04:22:40 PM,1,0,,
544,11/02/18 04:22:50 PM,0,0,,
545,11/02/18 04:23:00 PM,1,1,,
546,11/02/18 04:23:10 PM,0,0,,
547,11/02/18 04:23:20 PM,0,0,,
548,11/02/18 04:23:30 PM,1,1,,
549,11/02/18 04:23:40 PM,0,0,,
550,11/02/18 04:23:50 PM,0,1,,
551,11/02/18 04:24:00 PM,1,0,,
552,11/02/18 04:24:10 PM,0,0,,
553,11/02/18 04:24:20 PM,1,1,,
554,11/02/18 04:24:30 PM,1,1,,
555,11/02/18 04:24:40 PM,0,0,,
556,11/02/18 04:24:50 PM,1,1,,
557,11/02/18 04:25:00 PM,1,1,,
558,11/02/18 04:25:10 PM,0,0,,
559,11/02/18 04:25:20 PM,1,1,,
560,11/02/18 04:25:30 PM,1,1,,
561,11/02/18 04:25:40 PM,0,0,,
562,11/02/18 04:25:50 PM,0,0,,
563,11/02/18 04:26:00 PM,0,0,,
564,11/02/18 04:26:10 PM,0,0,,
565,11/02/18 04:26:20 PM,1,1,,
566,11/02/18 04:26:30 PM,0,0,,
567,11/02/18 04:26:40 PM,1,1,,
568,11/02/18 04:26:50 PM,0,0,,
569,11/02/18 04:27:00 PM,0,0,,
570,11/02/18 04:27:10 PM,1,1,,
571,11/02/18 04:27:20 PM,1,1,,
572,11/02/18 04:27:30 PM,1,1,,
573,11/02/18 04:27:40 PM,0,0,,
574,11/02/18 04:27:50 PM,0,0,,
575,11/02/18 04:28:00 PM,1,0,,
576,11/02/18 04:28:10 PM,0,1,,
577,11/02/18 04:28:20 PM,1,1,,
578,11/02/18 04:28:30 PM,1,1,,
