"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)"
256,11/02/18 03:51:10 PM,0,0
257,11/02/18 03:51:20 PM,1,1
258,11/02/18 03:51:30 PM,1,1
259,11/02/18 03:51:40 PM,1,1
260,11/02/18 03:51:50 PM,1,0
261,11/02/18 03:52:00 PM,0,1
262,11/02/18 03:52:10 PM,1,1
263,11/02/18 03:52:20 PM,1,0
264,11/02/18 03:52:30 PM,0,0
265,11/02/18 03:52:40 PM,1,1
266,11/02/18 03:52:50 PM,0,0
267,11/02/18 03:53:00 PM,1,0
268,11/02/18 03:53:10 PM,0,0
269,11/02/18 03:53:20 PM,0,1
270,11/02/18 03:53:30 PM,1,1
271,11/02/18 03:53:40 PM,1,1
272,11/02/18 03:53:50 PM,0,0
273,11/02/18 03:54:00 PM,1,1
274,11/02/18 03:54:10 PM,0,0
275,11/02/18 03:54:20 PM,1,1
276,11/02/18 03:54:30 PM,0,0
277,11/02/18 03:54:40 PM,0,0
278,11/02/18 03:54:50 PM,2,1
279,11/02/18 03:55:00 PM,0,0
280,11/02/18 03:55:10 PM,1,0
281,11/02/18 03:55:20 PM,0,1
282,11/02/18 03:55:30 PM,0,0
283,11/02/18 03:55:40 PM,1,1
284,11/02/18 03:55:50 PM,0,0
285,11/02/18 03:56:00 PM,0,0
286,11/02/18 03:56:10 PM,1,1
287,11/02/18 03:56:20 PM,1,0
288,11/02/18 03:56:30 PM,0,0
289,11/02/18 03:56:40 PM,1,0
290,11/02/18 03:56:50 PM,1,1
291,11/02/18 03:57:00 PM,0,0
292,11/02/18 03:57:10 PM,0,0
293,11/02/18 03:57:20 PM,1,1
294,11/02/18 03:57:30 PM,1,1
295,11/02/18 03:57:40 PM,0,0
296,11/02/18 03:57:50 PM,1,1
297,11/02/18 03:58:00 PM,1,1
298,11/02/18 03:58:10 PM,0,0
299,11/02/18 03:58:20 PM,1,1
300,11/02/18 03:58:30 PM,0,0
301,11/02/18 03:58:40 PM,0,0
302,11/02/18 03:58:50 PM,1,1
303,11/02/18 03:59:00 PM,0,0
304,11/02/18 03:59:10 PM,1,1
305,11/02/18 03:59:20 PM,0,0
306,11/02/18 03:59:30 PM,1,1
307,11/02/18 03:59:40 PM,1,1
308,11/02/18 03:59:50 PM,1,0
309,11/02/18 04:00:00 PM,0,1
310,11/02/18 04:00:10 PM,1,0
311,11/02/18 04:00:20 PM,1,1
312,11/02/18 04:00:30 PM,0,0
313,11/02/18 04:00:40 PM,0,0
314,11/02/18 04:00:50 PM,0,0
315,11/02/18 04:01:00 PM,0,0
316,11/02/18 04:01:10 PM,0,0
317,11/02/18 04:01:20 PM,1,1
318,11/02/18 04:01:30 PM,0,0
319,11/02/18 04:01:40 PM,1,1
320,11/02/18 04:01:50 PM,0,0
321,11/02/18 04:02:00 PM,1,1
322,11/02/18 04:02:10 PM,0,0
323,11/02/18 04:02:20 PM,0,0
324,11/02/18 04:02:30 PM,0,1
325,11/02/18 04:02:40 PM,1,0
326,11/02/18 04:02:50 PM,1,1
327,11/02/18 04:03:00 PM,1,0
328,11/02/18 04:03:10 PM,0,1
329,11/02/18 04:03:20 PM,1,1
330,11/02/18 04:03:30 PM,0,0
331,11/02/18 04:03:40 PM,0,0
332,11/02/18 04:03:50 PM,0,0
333,11/02/18 04:04:00 PM,0,0
334,11/02/18 04:04:10 PM,0,0
335,11/02/18 04:04:20 PM,0,1
336,11/02/18 04:04:30 PM,1,0
337,11/02/18 04:04:40 PM,0,0
338,11/02/18 04:04:50 PM,0,0
339,11/02/18 04:05:00 PM,0,0
340,11/02/18 04:05:10 PM,0,1
341,11/02/18 04:05:20 PM,1,0
342,11/02/18 04:05:30 PM,0,0
343,11/02/18 04:05:40 PM,1,1
344,11/02/18 04:05:50 PM,0,0
345,11/02/18 04:06:00 PM,0,0
346,11/02/18 04:06:10 PM,2,2
347,11/02/18 04:06:20 PM,0,0
348,11/02/18 04:06:30 PM,1,1
349,11/02/18 04:06:40 PM,0,0
350,11/02/18 04:06:50 PM,1,0
351,11/02/18 04:07:00 PM,0,0
352,11/02/18 04:07:10 PM,1,1
353,11/02/18 04:07:20 PM,0,1
354,11/02/18 04:07:30 PM,0,0
355,11/02/18 04:07:40 PM,0,0
356,11/02/18 04:07:50 PM,1,1
357,11/02/18 04:08:00 PM,0,1
358,11/02/18 04:08:10 PM,1,1
359,11/02/18 04:08:20 PM,0,0
360,11/02/18 04:08:30 PM,1,0
361,11/02/18 04:08:40 PM,0,1
362,11/02/18 04:08:50 PM,1,1
363,11/02/18 04:09:00 PM,0,0
364,11/02/18 04:09:10 PM,0,0
365,11/02/18 04:09:20 PM,0,0
366,11/02/18 04:09:30 PM,0,0
367,11/02/18 04:09:40 PM,1,0
368,11/02/18 04:09:50 PM,0,1
369,11/02/18 04:10:00 PM,1,1
370,11/02/18 04:10:10 PM,0,0
371,11/02/18 04:10:20 PM,0,0
372,11/02/18 04:10:30 PM,0,0
373,11/02/18 04:10:40 PM,1,2
374,11/02/18 04:10:50 PM,1,1
375,11/02/18 04:11:00 PM,1,1
376,11/02/18 04:11:10 PM,0,0
