"Plot Title: 20433441"
"#","Date Time, GMT-07:00","Light (LGR S/N: 20433441, SEN S/N: 20433441)","Occupancy (LGR S/N: 20433441, SEN S/N: 20433441)","Internal Calibration (LGR S/N: 20433441)","Host Connected (LGR S/N: 20433441)","Stopped (LGR S/N: 20433441)","End Of File (LGR S/N: 20433441)"
290,10/22/18 05:14:52 PM,0.00,,,,,
291,10/22/18 05:40:09 PM,,1.00,,,,
292,10/22/18 05:55:41 PM,,0.00,,,,
293,10/23/18 08:32:09 AM,1.00,,,,,
294,10/23/18 09:09:16 AM,,1.00,,,,
295,10/23/18 09:28:00 AM,,0.00,,,,
296,10/23/18 12:50:15 PM,,1.00,,,,
297,10/23/18 01:07:05 PM,,0.00,,,,
298,10/23/18 01:32:51 PM,,1.00,,,,
299,10/23/18 01:38:10 PM,,0.00,,,,
300,10/23/18 01:38:40 PM,,1.00,,,,
301,10/23/18 01:41:45 PM,,0.00,,,,
302,10/23/18 01:47:59 PM,,1.00,,,,
303,10/23/18 02:08:48 PM,,0.00,,,,
304,10/23/18 02:13:03 PM,,1.00,,,,
305,10/23/18 04:31:29 PM,,0.00,,,,
306,10/23/18 04:31:33 PM,,1.00,,,,
307,10/23/18 04:48:17 PM,,0.00,,,,
308,10/23/18 04:48:36 PM,,1.00,,,,
309,10/23/18 04:52:21 PM,,0.00,,,,
310,10/23/18 04:53:02 PM,,1.00,,,,
311,10/23/18 05:23:16 PM,0.00,,,,,
312,10/23/18 05:29:49 PM,,0.00,,,,
313,10/24/18 08:57:38 AM,1.00,,,,,
314,10/24/18 09:42:50 AM,,1.00,,,,
315,10/24/18 09:44:54 AM,,0.00,,,,
316,10/24/18 09:48:30 AM,,1.00,,,,
317,10/24/18 10:37:49 AM,,0.00,,,,
318,10/24/18 10:48:07 AM,,1.00,,,,
319,10/24/18 11:12:10 AM,,0.00,,,,
320,10/24/18 12:31:15 PM,,1.00,,,,
321,10/24/18 12:34:36 PM,,0.00,,,,
322,10/24/18 12:35:08 PM,,1.00,,,,
323,10/24/18 12:37:23 PM,,0.00,,,,
324,10/24/18 12:38:38 PM,,1.00,,,,
325,10/24/18 01:36:12 PM,,0.00,,,,
326,10/24/18 01:38:29 PM,,1.00,,,,
327,10/24/18 01:49:34 PM,,0.00,,,,
328,10/24/18 01:49:52 PM,,1.00,,,,
329,10/24/18 02:19:49 PM,,0.00,,,,
330,10/24/18 02:20:03 PM,,1.00,,,,
331,10/24/18 02:40:42 PM,,0.00,,,,
332,10/24/18 02:41:10 PM,,1.00,,,,
333,10/24/18 02:43:01 PM,,0.00,,,,
334,10/24/18 02:55:42 PM,,1.00,,,,
335,10/24/18 02:59:02 PM,,0.00,,,,
336,10/24/18 02:59:11 PM,,1.00,,,,
337,10/24/18 03:01:38 PM,,0.00,,,,
338,10/24/18 03:08:29 PM,,1.00,,,,
339,10/24/18 03:10:20 PM,,0.00,,,,
340,10/24/18 03:25:11 PM,,1.00,,,,
341,10/24/18 04:05:39 PM,,0.00,,,,
342,10/24/18 04:05:45 PM,,1.00,,,,
343,10/24/18 04:43:05 PM,,0.00,,,,
344,10/24/18 04:44:57 PM,,1.00,,,,
345,10/24/18 04:54:40 PM,,0.00,,,,
346,10/24/18 04:54:48 PM,,1.00,,,,
347,10/24/18 04:56:41 PM,,0.00,,,,
348,10/24/18 05:01:47 PM,,1.00,,,,
349,10/24/18 05:10:38 PM,0.00,,,,,
350,10/24/18 05:10:39 PM,1.00,,,,,
351,10/24/18 05:10:41 PM,0.00,,,,,
352,10/24/18 05:10:46 PM,1.00,,,,,
353,10/24/18 05:10:50 PM,0.00,,,,,
354,10/24/18 05:13:21 PM,1.00,,,,,
355,10/24/18 05:13:33 PM,0.00,,,,,
356,10/24/18 05:14:22 PM,1.00,,,,,
357,10/24/18 05:14:25 PM,0.00,,,,,
358,10/24/18 05:14:29 PM,1.00,,,,,
359,10/24/18 05:14:38 PM,0.00,,,,,
360,10/24/18 05:14:39 PM,1.00,,,,,
361,10/24/18 05:14:43 PM,0.00,,,,,
362,10/24/18 05:14:44 PM,1.00,,,,,
363,10/24/18 05:15:04 PM,0.00,,,,,
364,10/24/18 05:15:10 PM,1.00,,,,,
365,10/24/18 05:15:11 PM,0.00,,,,,
366,10/24/18 05:15:19 PM,1.00,,,,,
367,10/24/18 05:16:23 PM,,0.00,,,,
368,10/24/18 05:19:51 PM,0.00,1.00,,,,
369,10/24/18 05:19:52 PM,,,,Logged,,
370,10/24/18 05:19:54 PM,1.00,,,,,
371,10/24/18 05:19:57 PM,1.00,1.00,,,Logged,Logged
